iter	RMSE
0	6.065937636
1	5.701564676
2	5.398932385
3	5.134542715
4	4.874555141
5	4.654843445
6	4.46907211
7	4.286149085
8	4.119971277
9	3.955516304
10	3.811197256
11	3.702743286
12	3.603778765
13	3.492830931
14	3.382796554
15	3.301606575
16	3.208941594
17	3.124141812
18	3.070595339
19	3.006661641
20	2.954320036
21	2.891512735
22	2.835995515
23	2.801496619
24	2.747933583
25	2.742502508
26	2.713001947
27	2.708065225
28	2.703669912
29	2.658543143
30	2.654248564
31	2.62927028
32	2.603355583
33	2.561765088
34	2.545252384
35	2.512599513
36	2.508997068
37	2.480610483
38	2.457070896
39	2.443800346
40	2.411574595
41	2.408578953
42	2.373471973
43	2.347239668
44	2.336094491
45	2.333402067
46	2.327905775
47	2.303369001
48	2.30127999
49	2.287661599
50	2.242993006
51	2.210857181
52	2.195119418
53	2.159784927
54	2.135012287
55	2.13289114
56	2.1309761
57	2.115372283
58	2.088881967
59	2.050488021
60	2.036541269
61	2.017333211
62	2.015804832
63	1.988344739
64	1.96424509
65	1.954310545
66	1.952723994
67	1.940602167
68	1.930328467
69	1.926039591
70	1.90712196
71	1.880650683
72	1.869928087
73	1.854900423
74	1.845445677
75	1.826747945
76	1.802294917
77	1.775627532
78	1.751230876
79	1.746015411
80	1.744489092
81	1.743103349
82	1.719190539
83	1.696892401
84	1.678568761
85	1.661748031
86	1.659587591
87	1.6561565
88	1.64154618
89	1.620264045
90	1.618352196
91	1.60220194
92	1.585596712
93	1.569842882
94	1.549287972
95	1.5316734
96	1.514224302
97	1.5021098
98	1.485983657
99	1.484964033
100	1.467498157
101	1.465613111
102	1.455093954
103	1.431541997
104	1.412464912
105	1.399089137
106	1.386638703
107	1.376979553
108	1.357377146
109	1.341417188
110	1.32675804
111	1.309815698
112	1.301587443
113	1.300602447
114	1.287539495
115	1.275509782
116	1.267065536
117	1.26600773
118	1.256720914
119	1.241913051
120	1.22521296
121	1.214157245
122	1.205600299
123	1.198734037
124	1.187504751
125	1.174898978
126	1.165840466
127	1.153106709
128	1.14455578
129	1.131958953
130	1.122446456
131	1.116806939
132	1.106041689
133	1.09687495
134	1.087159399
135	1.086370417
136	1.077418482
137	1.076798528
138	1.076171398
139	1.065242568
140	1.056216651
141	1.055587481
142	1.050732489
143	1.03967718
144	1.031933312
145	1.022231906
146	1.013549525
147	1.006577931
148	1.002704858
149	0.992586262
150	0.9885667225
151	0.9787778608
152	0.9713046916
153	0.9618739424
154	0.9566286768
155	0.9561228854
156	0.9499555833
157	0.9446286812
158	0.9412082991
159	0.9327236599
160	0.9248278234
161	0.9188651708
162	0.9125296767
163	0.9118057135
164	0.9028248798
165	0.8973884907
166	0.8924596364
167	0.8859603646
168	0.8854974205
169	0.880341838
170	0.8718023235
171	0.8653050789
172	0.8592245242
173	0.8549716031
174	0.8472201146
175	0.8432377545
176	0.8368525039
177	0.8309913309
178	0.8256406349
179	0.8234790144
180	0.8172949085
181	0.8169590846
182	0.8130611841
183	0.8071658854
184	0.8036497148
185	0.7975952658
186	0.7917421019
187	0.7914447423
188	0.7889931647
189	0.7827842544
190	0.7780586808
191	0.7737881769
192	0.7701755035
193	0.7640064397
194	0.7593278087
195	0.7550842968
196	0.7499273783
197	0.7448495717
198	0.7391810157
199	0.7340542546
