iter	Passed	Remaining
0	5	1160
1	8	863
2	10	719
3	13	652
4	15	604
5	18	606
6	21	588
7	23	565
8	25	547
9	28	536
10	30	525
11	33	520
12	35	512
13	37	504
14	40	498
15	42	491
16	45	485
17	47	479
18	50	478
19	53	479
20	55	476
21	58	471
22	60	467
23	63	463
24	65	461
25	68	455
26	70	450
27	72	447
28	75	442
29	77	438
30	78	427
31	80	423
32	83	421
33	85	416
34	87	413
35	90	411
36	92	407
37	95	405
38	97	402
39	100	400
40	102	396
41	104	393
42	106	389
43	109	387
44	111	385
45	114	382
46	116	378
47	118	375
48	120	372
49	123	369
50	125	367
51	128	364
52	130	361
53	132	358
54	135	355
55	137	352
56	140	351
57	142	349
58	144	346
59	147	344
60	149	341
61	152	338
62	152	332
63	155	329
64	157	327
65	159	324
66	162	321
67	164	319
68	166	316
69	169	313
70	171	311
71	173	308
72	176	306
73	178	303
74	180	300
75	182	298
76	184	295
77	186	292
78	189	289
79	191	287
80	193	284
81	194	279
82	197	278
83	199	275
84	201	273
85	204	270
86	205	266
87	206	262
88	208	260
89	210	257
90	212	254
91	214	252
92	217	249
93	219	246
94	221	244
95	223	241
96	225	239
97	227	236
98	229	234
99	231	231
100	233	228
101	235	226
102	237	223
103	239	220
104	241	218
105	243	215
106	245	213
107	247	210
108	249	208
109	251	205
110	253	203
111	255	201
112	258	198
113	260	196
114	262	194
115	264	191
116	267	189
117	269	187
118	271	184
119	273	182
120	275	180
121	278	177
122	280	175
123	282	173
124	284	170
125	287	168
126	289	166
127	291	164
128	294	161
129	296	159
130	299	157
131	301	155
132	303	152
133	305	150
134	307	148
135	309	145
136	311	143
137	313	140
138	315	138
139	317	136
140	320	134
141	322	131
142	324	129
143	326	127
144	329	124
145	331	122
146	333	120
147	335	117
148	337	115
149	339	113
150	341	110
151	343	108
152	346	106
153	348	104
154	350	101
155	352	99
156	354	97
157	357	94
158	359	92
159	361	90
160	363	88
161	365	85
162	367	83
163	369	81
164	371	78
165	373	76
166	376	74
167	378	72
168	379	69
169	382	67
170	384	65
171	386	62
172	388	60
173	391	58
174	393	56
175	396	54
176	398	51
177	401	49
178	403	47
179	405	45
180	408	42
181	410	40
182	412	38
183	414	36
184	416	33
185	418	31
186	421	29
187	423	27
188	425	24
189	427	22
190	429	20
191	431	17
192	433	15
193	436	13
194	438	11
195	440	8
196	442	6
197	444	4
198	447	2
199	449	0
